id,owner,action,due,status
A-001,Amir de Jong,Obtain E-001 and assess G-01,2026-09-10,OPEN
A-002,Theo Smit,Reconcile dashboard and technical update,2026-09-10,OPEN
A-003,Lotte Visser,Prepare conditional communication draft,2026-09-11,OPEN
A-004,Amir de Jong,Complete supporting customer action 4,2026-09-11,CLOSED
A-005,Theo Smit,Complete supporting launch action 5,2026-09-11,CLOSED
A-006,Lotte Visser,Complete supporting rollback action 6,2026-09-11,CLOSED
A-007,Amir de Jong,Complete supporting support action 7,2026-09-11,CLOSED
A-008,Theo Smit,Complete supporting infrastructure action 8,2026-09-11,CLOSED
A-009,Lotte Visser,Complete supporting customer action 9,2026-09-11,CLOSED
A-010,Amir de Jong,Complete supporting launch action 10,2026-09-11,CLOSED
A-011,Theo Smit,Complete supporting rollback action 11,2026-09-11,CLOSED
A-012,Lotte Visser,Complete supporting support action 12,2026-09-11,CLOSED
A-013,Amir de Jong,Complete supporting infrastructure action 13,2026-09-11,CLOSED
A-014,Theo Smit,Complete supporting customer action 14,2026-09-11,CLOSED
A-015,Lotte Visser,Complete supporting launch action 15,2026-09-11,CLOSED
A-016,Amir de Jong,Complete supporting rollback action 16,2026-09-11,CLOSED
A-017,Theo Smit,Complete supporting support action 17,2026-09-11,CLOSED
A-018,Lotte Visser,Complete supporting infrastructure action 18,2026-09-11,CLOSED
A-019,Amir de Jong,Complete supporting customer action 19,2026-09-11,CLOSED
A-020,Theo Smit,Complete supporting launch action 20,2026-09-11,CLOSED
A-021,Lotte Visser,Complete supporting rollback action 21,2026-09-11,CLOSED
A-022,Amir de Jong,Complete supporting support action 22,2026-09-11,CLOSED
A-023,Theo Smit,Complete supporting infrastructure action 23,2026-09-11,CLOSED
A-024,Lotte Visser,Complete supporting customer action 24,2026-09-11,CLOSED
A-025,Amir de Jong,Complete supporting launch action 25,2026-09-11,CLOSED
A-026,Theo Smit,Complete supporting rollback action 26,2026-09-11,CLOSED
A-027,Lotte Visser,Complete supporting support action 27,2026-09-11,CLOSED
A-028,Amir de Jong,Complete supporting infrastructure action 28,2026-09-11,CLOSED
A-029,Theo Smit,Complete supporting customer action 29,2026-09-11,CLOSED
A-030,Lotte Visser,Complete supporting launch action 30,2026-09-11,CLOSED
A-031,Amir de Jong,Complete supporting rollback action 31,2026-09-11,CLOSED
A-032,Theo Smit,Complete supporting support action 32,2026-09-11,CLOSED
A-033,Lotte Visser,Complete supporting infrastructure action 33,2026-09-11,CLOSED
A-034,Amir de Jong,Complete supporting customer action 34,2026-09-11,CLOSED
A-035,Theo Smit,Complete supporting launch action 35,2026-09-11,CLOSED
A-036,Lotte Visser,Complete supporting rollback action 36,2026-09-11,CLOSED
A-037,Amir de Jong,Complete supporting support action 37,2026-09-11,CLOSED
A-038,Theo Smit,Complete supporting infrastructure action 38,2026-09-11,CLOSED
A-039,Lotte Visser,Complete supporting customer action 39,2026-09-11,CLOSED
A-040,Amir de Jong,Complete supporting launch action 40,2026-09-11,CLOSED
A-041,Theo Smit,Complete supporting rollback action 41,2026-09-11,CLOSED
