site,support_ready,migration_ready,owner,exception
NL-01,yes,pending rehearsal,Nina Willems,
NL-02,yes,pending rehearsal,Pim Groen,
NL-03,yes,pending rehearsal,Nina Willems,
NL-04,no,pending rehearsal,Pim Groen,Evening roster awaiting confirmation
NL-05,yes,pending rehearsal,Nina Willems,
NL-06,yes,pending rehearsal,Pim Groen,
NL-07,yes,pending rehearsal,Nina Willems,
NL-08,yes,pending rehearsal,Pim Groen,
NL-09,no,pending rehearsal,Nina Willems,Evening roster awaiting confirmation
NL-10,yes,pending rehearsal,Pim Groen,
NL-11,yes,pending rehearsal,Nina Willems,
NL-12,yes,pending rehearsal,Pim Groen,
