id,date,owner,decision,scope
DEC-001,2026-08-02,Maya Vermeer,Approve preparation work only,"Does not approve G-01, closure, launch or external commitment"
DEC-002,2026-08-03,Maya Vermeer,Accept supporting item 2,"Does not approve G-01, closure, launch or external commitment"
DEC-003,2026-08-04,Maya Vermeer,Accept supporting item 3,"Does not approve G-01, closure, launch or external commitment"
DEC-004,2026-08-05,Maya Vermeer,Accept supporting item 4,"Does not approve G-01, closure, launch or external commitment"
DEC-005,2026-08-06,Maya Vermeer,Accept supporting item 5,"Does not approve G-01, closure, launch or external commitment"
DEC-006,2026-08-07,Maya Vermeer,Accept supporting item 6,"Does not approve G-01, closure, launch or external commitment"
DEC-007,2026-08-08,Maya Vermeer,Accept supporting item 7,"Does not approve G-01, closure, launch or external commitment"
DEC-008,2026-08-09,Maya Vermeer,Accept supporting item 8,"Does not approve G-01, closure, launch or external commitment"
DEC-009,2026-08-10,Maya Vermeer,Accept supporting item 9,"Does not approve G-01, closure, launch or external commitment"
DEC-010,2026-08-11,Maya Vermeer,Accept supporting item 10,"Does not approve G-01, closure, launch or external commitment"
DEC-011,2026-08-12,Maya Vermeer,Accept supporting item 11,"Does not approve G-01, closure, launch or external commitment"
DEC-012,2026-08-13,Maya Vermeer,Accept supporting item 12,"Does not approve G-01, closure, launch or external commitment"
DEC-013,2026-08-14,Maya Vermeer,Accept supporting item 13,"Does not approve G-01, closure, launch or external commitment"
DEC-014,2026-08-15,Maya Vermeer,Accept supporting item 14,"Does not approve G-01, closure, launch or external commitment"
DEC-015,2026-08-16,Maya Vermeer,Accept supporting item 15,"Does not approve G-01, closure, launch or external commitment"
DEC-016,2026-08-17,Maya Vermeer,Accept supporting item 16,"Does not approve G-01, closure, launch or external commitment"
DEC-017,2026-08-18,Maya Vermeer,Accept supporting item 17,"Does not approve G-01, closure, launch or external commitment"
DEC-018,2026-08-19,Maya Vermeer,Accept supporting item 18,"Does not approve G-01, closure, launch or external commitment"
DEC-019,2026-08-20,Maya Vermeer,Accept supporting item 19,"Does not approve G-01, closure, launch or external commitment"
DEC-020,2026-08-21,Maya Vermeer,Accept supporting item 20,"Does not approve G-01, closure, launch or external commitment"
DEC-021,2026-08-22,Maya Vermeer,Accept supporting item 21,"Does not approve G-01, closure, launch or external commitment"
DEC-022,2026-08-23,Maya Vermeer,Accept supporting item 22,"Does not approve G-01, closure, launch or external commitment"
DEC-023,2026-08-24,Maya Vermeer,Accept supporting item 23,"Does not approve G-01, closure, launch or external commitment"
DEC-024,2026-08-25,Maya Vermeer,Accept supporting item 24,"Does not approve G-01, closure, launch or external commitment"
DEC-025,2026-08-26,Maya Vermeer,Accept supporting item 25,"Does not approve G-01, closure, launch or external commitment"
DEC-026,2026-08-27,Maya Vermeer,Accept supporting item 26,"Does not approve G-01, closure, launch or external commitment"
DEC-027,2026-08-01,Maya Vermeer,Accept supporting item 27,"Does not approve G-01, closure, launch or external commitment"
DEC-028,2026-08-02,Maya Vermeer,Accept supporting item 28,"Does not approve G-01, closure, launch or external commitment"
DEC-029,2026-08-03,Maya Vermeer,Accept supporting item 29,"Does not approve G-01, closure, launch or external commitment"
DEC-030,2026-08-04,Maya Vermeer,Accept supporting item 30,"Does not approve G-01, closure, launch or external commitment"
DEC-031,2026-08-05,Maya Vermeer,Accept supporting item 31,"Does not approve G-01, closure, launch or external commitment"
DEC-032,2026-08-06,Maya Vermeer,Accept supporting item 32,"Does not approve G-01, closure, launch or external commitment"
DEC-033,2026-08-07,Maya Vermeer,Accept supporting item 33,"Does not approve G-01, closure, launch or external commitment"
DEC-034,2026-08-08,Maya Vermeer,Accept supporting item 34,"Does not approve G-01, closure, launch or external commitment"
DEC-035,2026-08-09,Maya Vermeer,Accept supporting item 35,"Does not approve G-01, closure, launch or external commitment"
DEC-036,2026-08-10,Maya Vermeer,Accept supporting item 36,"Does not approve G-01, closure, launch or external commitment"
DEC-037,2026-08-11,Maya Vermeer,Accept supporting item 37,"Does not approve G-01, closure, launch or external commitment"
DEC-038,2026-08-12,Maya Vermeer,Accept supporting item 38,"Does not approve G-01, closure, launch or external commitment"
DEC-039,2026-08-13,Maya Vermeer,Accept supporting item 39,"Does not approve G-01, closure, launch or external commitment"
DEC-040,2026-08-14,Maya Vermeer,Accept supporting item 40,"Does not approve G-01, closure, launch or external commitment"
